1, 4000, 91
2, 4000, 48
3, 4000, 179
4, 4000, 90
5, 4000, 88
1, 8000, 366
2, 8000, 200
3, 8000, 735
4, 8000, 368
5, 8000, 364
1, 12000, 881
2, 12000, 502
3, 12000, 1786
4, 12000, 883
5, 12000, 920
1, 16000, 1475
2, 16000, 848
3, 16000, 2925
4, 16000, 1440
5, 16000, 1448
1, 20000, 2302
2, 20000, 1318
3, 20000, 4579
4, 20000, 2257
5, 20000, 2263
1, 24000, 3554
2, 24000, 2109
3, 24000, 6991
4, 24000, 3559
5, 24000, 3650
1, 28000, 4508
2, 28000, 2654
3, 28000, 8983
4, 28000, 4441
5, 28000, 4426
1, 32000, 6257
2, 32000, 3691
3, 32000, 12986
4, 32000, 6504
5, 32000, 6307
1, 36000, 7867
2, 36000, 4811
3, 36000, 16412
4, 36000, 8182
5, 36000, 8046
1, 40000, 9304
2, 40000, 5469
3, 40000, 18511
4, 40000, 9133
5, 40000, 9186
1, 4000, 94
2, 4000, 49
3, 4000, 186
4, 4000, 93
5, 4000, 88
1, 8000, 359
2, 8000, 196
3, 8000, 710
4, 8000, 354
5, 8000, 352
1, 12000, 808
2, 12000, 454
3, 12000, 1599
4, 12000, 791
5, 12000, 793
1, 16000, 1438
2, 16000, 818
3, 16000, 2826
4, 16000, 1402
5, 16000, 1409
1, 20000, 2239
2, 20000, 1290
3, 20000, 4403
4, 20000, 2193
5, 20000, 2194
1, 24000, 3226
2, 24000, 1856
3, 24000, 6418
4, 24000, 3165
5, 24000, 3178
1, 28000, 4403
2, 28000, 2560
3, 28000, 8720
4, 28000, 4309
5, 28000, 4314
1, 32000, 5758
2, 32000, 3382
3, 32000, 11432
4, 32000, 5660
5, 32000, 5680
1, 36000, 7283
2, 36000, 4303
3, 36000, 14418
4, 36000, 7209
5, 36000, 7150
1, 40000, 8996
2, 40000, 5747
3, 40000, 17632
4, 40000, 8821
5, 40000, 8870
1, 4000, 89
2, 4000, 48
3, 4000, 178
4, 4000, 88
5, 4000, 86
1, 8000, 358
2, 8000, 196
3, 8000, 710
4, 8000, 355
5, 8000, 351
1, 12000, 805
2, 12000, 452
3, 12000, 1600
4, 12000, 789
5, 12000, 790
1, 16000, 1430
2, 16000, 820
3, 16000, 2838
4, 16000, 1404
5, 16000, 1405
1, 20000, 2239
2, 20000, 1289
3, 20000, 4419
4, 20000, 2191
5, 20000, 2206
1, 24000, 3225
2, 24000, 1856
3, 24000, 6405
4, 24000, 3165
5, 24000, 3167
1, 28000, 4405
2, 28000, 2851
3, 28000, 8736
4, 28000, 4319
5, 28000, 4324
1, 32000, 5768
2, 32000, 3386
3, 32000, 11339
4, 32000, 5667
5, 32000, 5640
1, 36000, 7293
2, 36000, 4262
3, 36000, 14523
4, 36000, 7227
5, 36000, 7168
1, 40000, 9022
2, 40000, 5274
3, 40000, 17843
4, 40000, 8862
5, 40000, 8839
1, 4000, 90
2, 4000, 47
3, 4000, 176
4, 4000, 89
5, 4000, 87
1, 8000, 358
2, 8000, 196
3, 8000, 706
4, 8000, 353
5, 8000, 351
1, 12000, 809
2, 12000, 455
3, 12000, 1597
4, 12000, 791
5, 12000, 792
1, 16000, 1432
2, 16000, 820
3, 16000, 2849
4, 16000, 1401
5, 16000, 1401
1, 20000, 2242
2, 20000, 1289
3, 20000, 4415
4, 20000, 2198
5, 20000, 2192
1, 24000, 3229
2, 24000, 1865
3, 24000, 6384
4, 24000, 3167
5, 24000, 3166
1, 28000, 4398
2, 28000, 2560
3, 28000, 8660
4, 28000, 4304
5, 28000, 4312
1, 32000, 5742
2, 32000, 3343
3, 32000, 11359
4, 32000, 5637
5, 32000, 5657
1, 36000, 7291
2, 36000, 4315
3, 36000, 14392
4, 36000, 7227
5, 36000, 7160
1, 40000, 9014
2, 40000, 5269
3, 40000, 17899
4, 40000, 8842
5, 40000, 8796
1, 4000, 90
2, 4000, 48
3, 4000, 176
4, 4000, 88
5, 4000, 87
1, 8000, 360
2, 8000, 197
3, 8000, 705
4, 8000, 354
5, 8000, 353
1, 12000, 805
2, 12000, 495
3, 12000, 1575
4, 12000, 789
5, 12000, 787
1, 16000, 1431
2, 16000, 819
3, 16000, 2807
4, 16000, 1399
5, 16000, 1413
1, 20000, 2251
2, 20000, 1301
3, 20000, 4429
4, 20000, 2202
5, 20000, 2200
1, 24000, 3237
2, 24000, 1876
3, 24000, 6356
4, 24000, 3169
5, 24000, 3185
1, 28000, 4407
2, 28000, 2589
3, 28000, 8714
4, 28000, 4320
5, 28000, 4313
1, 32000, 5761
2, 32000, 3385
3, 32000, 11414
4, 32000, 5652
5, 32000, 5658
1, 36000, 7291
2, 36000, 4311
3, 36000, 14479
4, 36000, 7217
5, 36000, 7214
1, 40000, 8996
2, 40000, 5327
3, 40000, 17777
4, 40000, 8807
5, 40000, 8806
